net,length_um
io_in[0],3178.28
io_in[37],2984.52
io_in[14],2982.28
io_out[14],2962.68
wb_clk_i,2955.4
wbs_we_i,2950.36
io_in[1],2946.44
io_out[15],2933
io_out[13],2912.28
io_in[25],2897.72
io_out[23],2851.8
io_in[16],2850.12
io_in[15],2828.84
io_out[0],2814.84
wbs_stb_i,2793
io_out[24],2765.56
io_in[24],2761.64
wb_rst_i,2756.6
io_out[36],2752.12
io_out[1],2695.61
io_in[23],2682.12
io_out[12],2647.96
io_in[35],2647.4
wbs_cyc_i,2622.2
io_out[37],2567.88
io_in[27],2567.32
io_in[13],2548.84
io_in[26],2527.56
io_out[25],2524.76
io_out[22],2510.2
io_in[36],2500.68
io_in[2],2499.56
io_in[12],2476.04
io_out[2],2464.84
io_out[16],2457.56
io_in[17],2455.88
io_out[35],2454.2
io_in[4],2439.64
io_out[26],2389.8
io_in[34],2364.6
io_in[3],2328.2
io_out[11],2305.8
io_in[22],2302.44
io_out[10],2266.04
io_out[33],2264.36
io_out[27],2262.68
io_in[28],2249.8
io_out[4],2222.92
io_out[34],2215.08
io_in[11],2197.72
io_out[3],2187.64
io_out[17],2187.08
io_in[20],2053.24
io_out[21],2033.64
io_in[18],2023.56
io_in[10],2018.52
io_out[7],1975.96
io_out[9],1949.08
io_out[29],1899.24
io_in[8],1867.88
io_in[29],1849.4
io_in[5],1838.2
io_out[19],1827.56
io_out[28],1811.32
io_in[6],1801.8
io_in[21],1801.24
io_out[18],1793.96
io_in[33],1786.68
io_in[19],1783.88
io_out[5],1764.84
io_in[32],1668.52
io_out[20],1657.32
io_in[31],1649.62
io_in[9],1644.44
io_out[30],1632.12
io_out[32],1586.2
io_out[6],1526.28
io_out[8],1525.16
io_in[30],1499.96
io_in[7],1469.72
io_out[31],1361.64
